Text,truth,pre,mse,rmse,pearson_coeff,spearman_coeff,input_tokens,output_tokens,total_tokens,runtime
"text1: dunlap won both the swimsuit competition and the talent portion of the competition , singing "" if i could . ""  text2: she won the talent portion singing "" if i could "" and also won in evening wear .",2.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,754,55,809,3.623018503189087
text1: governor gray davis estimated yesterday that the fires could cost nearly $ 2 billion .  text2: state officials estimated the cost at nearly $ 2 billion .,3.5,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,742,6,748,1.356867790222168
"text1: the american express corp. has pledged at least $ 3 million of more than $ 5 million needed .  text2: the city had requested federal funds , but withdrew that request when american express pledged at least $ 3 million .",3.2,2.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,757,128,885,6.982259750366211
"text1: south asia follows , with 1.1 millions youths infected — 62 percent of them female .  text2: of the 1.1 million infected in south asia , 62 % are female .",4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,751,70,821,4.265336513519287
"text1: an hour later , an israeli helicopter fired missiles at a car in gaza city , killing two hamas officials and at least five other people .  text2: an hour later israeli attack helicopters rained missiles on a car in gaza city , killing seven people , palestinian sources said .",4.25,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,772,74,846,4.528963565826416
text1: executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones .  text2: executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires .,3.75,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,767,128,895,7.03660774230957
"text1: aaa spokesman jerry cheske said prices may have affected some plans , but cheap hotel deals mitigated the effect .  text2: aaa spokesman jerry cheske said prices might have affected some plans , but cheap hotel deals made up for it .",5.0,3.2,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,761,62,823,3.9478707313537598
"text1: the decades-long conflict has killed more than 10,000 people in the resource-rich province , most of them civilians .  text2: more than 10,000 people , most of them civilians , have been killed in three decades of insurgency .",4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,759,5,764,1.4042856693267822
"text1: claudette , the first hurricane of the atlantic storm season , hit the mid-texas coast july 15 with 85-mph wind .  text2: claudette , the first hurricane of the atlantic storm season , hit the mid-texas coast july 15 , classified as a category 1 hurricane with maximum sustained winds of 85 mph .",4.0,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,785,129,914,7.157907247543335
"text1: she countersued for $ 125 million , saying gruner & jahr broke its contract with her by cutting her out of key editorial decisions .  text2: she countersued for $ 125 million , saying g + j broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine 's financial figures .",3.5,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,777,75,852,4.58610200881958
"text1: the standard edition is $ 15,000 per processor or $ 300 per named user .  text2: the standard edition one is a single processor version of the oracle standard edition database .",2.5,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,748,5,753,1.3692669868469238
text1: results from no. 2 u.s. soft drink maker pepsico inc . ( nyse : pep - news - people ) were likely to be in the spotlight .  text2: wall street was also waiting for aluminum maker alcoa inc . ( nyse : pep - news - people ) to report earnings after the close .,2.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,777,75,852,4.58610200881958
"text1: microsoft acquired virtual pc when it bought the assets of connectix earlier this year .  text2: microsoft acquired virtual pc from its developer , connectix , earlier this year .",4.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,744,9,753,1.5300602912902832
"text1: taylor 's aides warn an abrupt departure could trigger more chaos , a view shared by many in liberia and , in private , even by mediators .  text2: his aides warn an abrupt departure could trigger more bloodshed , a view shared by many in liberia .",3.6,1.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,766,129,895,7.03660774230957
"text1: but odette is the first to form over the caribbean sea in december , the center said .  text2: it is the first named storm to develop in the caribbean in december .",4.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,748,5,753,1.3692669868469238
"text1: leon williams ' body was found inside his third-floor apartment at 196 bay st. , in tompkinsville .  text2: the dead man , leon williams , was found in his third-floor apartment .",3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,5,761,1.3973705768585205
text1: it 's the first such drill since the september 11 terrorist attacks on new york and washington .  text2: it is the nation 's first large-scale counterterrorism exercise since the sept . 11 terrorist attacks .,4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,754,55,809,3.623018503189087
text1: the afl-cio is waiting until october to decide if it will endorse a candidate .  text2: the afl-cio announced wednesday that it will decide in october whether to endorse a candidate before the primaries .,4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,754,55,809,3.623018503189087
"text1: ursel reisen confirmed it operated the coach , but gave no details other than to say the passengers were of mixed ages .  text2: ursel reisen confirmed it had been operating the coach , but declined to give details of the passengers other than to say they were of mixed ages .",4.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,768,70,838,4.347352504730225
"text1: a total of 17 cases have been confirmed in the southern city of basra , the organization said .  text2: a total of 17 confirmed cases of cholera were reported yesterday by the world health organisation in the southern iraqi city of basra .",3.6,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,763,71,834,4.364145994186401
"text1: he was also expected to visit yemen and bahrain during his tour of the region .  text2: khatami , who arrived in beirut monday , was also to visit syria , yemen and bahrain .",3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,755,58,813,3.7622642517089844
"text1: general myers told reporters that "" at first blush , it doesn 't look like any rules were broken "" .  text2: "" at first blush , it doesn 't look like any rules were broken , "" said gen. richard myers , chairman of the joint chiefs of staff .",3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,769,69,838,4.3015642166137695
"text1: proving that the millville son 's sacrifice would not go unsung , mayor james quinn ordered all city flags flown at half-mast for the next 30 days .  text2: in millville yesterday , mayor james quinn ordered all city flags flown at half-staff for the next 30 days .",3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,773,73,846,4.486289978027344
"text1: tom kasmer , a 14-year-old from belmont , n.c. , got a word that sounded like "" zistee "" during yesterday 's competition .  text2: the 14-year-old national spelling finalist who attends school in belmont , n.c. , got a word that sounded like "" zistee "" during competition wednesday .",3.75,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,782,71,853,4.440483570098877
"text1: tom kraynak , manager of operations and resources for the canton , ohio-based east central area reliability council , said that scenario is one among many that investigators are considering .  text2: tom kraynak , manager of operations and resources for the canton , ohio-based east central area reliability council , said investigators are considering the scenario .",4.25,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,778,79,857,4.775352239608765
text1: they found molecules that can only be produced when ozone breaks down cholesterol .  text2: and all of the samples contained molecules that can only be produced when cholesterol interacts with ozone .,4.25,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,745,46,791,3.1611340045928955
"text1: it was developed with consultation from more than 300 leaders in academia , industry , government and the public .  text2: the plan , called the nih roadmap , was developed over 14 months with help from more than 300 consultants in industry and academia .",3.25,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,762,37,799,2.8265018463134766
"text1: it can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre .  text2: and it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre .",3.846,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,775,75,850,4.5854880809783936
"text1: earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .  text2: excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .",1.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,760,8,768,1.5250885486602783
text1: the budget analysis comes as negotiations between the city council and the bloomberg administration heat up .  text2: budget negotiations between the mayor and the city council are entering high gear .,3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,745,46,791,3.1611340045928955
"text1: also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer , diabetes and aids .  text2: also at increased risk are those with suppressed immune systems due to illness or medicines .",4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,752,70,822,4.264118671417236
text1: local police authorities are treating the explosion as a criminal matter and nothing has been ruled out .  text2: acting new haven police chief francisco ortiz said police were treating the explosion as a criminal matter .,3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,751,70,821,4.265336513519287
"text1: "" for me , the lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents , "" according to extracts released yesterday .  text2: "" for me , the lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents , "" mrs clinton writes .",3.2,1.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,771,72,843,4.43686318397522
"text1: in 2001 and 2002 , wire transfers from 4 of the company 's 40 accounts totaled more than $ 3.2 billion , prosecutors said .  text2: wire transfers from four of the 40 accounts open at beacon hill totaled more than $ 3.2 billion from 2001 to 2002 , morgenthau said .",3.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,785,129,914,7.157907247543335
"text1: stony brook university launched the study in 1996 , after earlier studies indicated a possible connection between electromagnetic fields and cancer .  text2: the state university at stony brook launched the study in 1996 , after earlier studies indicated a possible connection .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,763,71,834,4.364145994186401
"text1: earlier , they had defied a police order and cried "" allahu akbar "" ( god is greatest ) as bashir walked to his seat in the tightly guarded courtroom .  text2: earlier , bashir 's supporters had defied a police order and cried "" allahu akbar ( god is greatest ) "" as he walked to his seat .",4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,781,72,853,4.440483570098877
"text1: metropolitan ambulance spokesman james howe said five people were taken to hospital and three were treated at the scene after yesterday 's incident .  text2: spokesman james howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries , while three others were treated at the scene .",3.333,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,772,74,846,4.528963565826416
text1: chiron already has nearly 20 percent acceptances from powderject 's shareholders .  text2: chiron has acceptances from holders of nearly 20 percent of powderject shares .,3.667,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,747,6,753,1.3692669868469238
text1: but it is clear that the joint intelligence committee was not involved .  text2: this report was cleared by the joint intelligence committee .,2.0,1.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,736,78,814,4.557599782943726
"text1: about 22 % of twentysomethings are obese , which is roughly 30 pounds over a healthy weight .  text2: about 31 percent of americans are now obese — roughly 30 or more pounds over a healthy weight .",2.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,760,8,768,1.5250885486602783
"text1: coupling , an american version of a hit british comedy , will get the valuable thursday 9 : 30 p.m. time slot .  text2: coupling , an american version of a hit british comedy , will couple with friends on thursdays .",3.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,761,62,823,3.9478707313537598
"text1: shares of coke closed new york stock exchange trading thursday at $ 44.01 .  text2: in morning trading on the new york stock exchange , coca-cola shares were down 34 cents at $ 43.67 .",2.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,758,71,829,4.35400652885437
"text1: her body was found several weeks later in the green river .  text2: aug. 15 , 1982 : remains of chapman , hinds and mills are found in the green river .",2.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,750,9,759,1.541886568069458
"text1: "" i feel that people that are sending these messages are infringing on my rights and everyone else 's rights to use their computers , "" said mckechnie .  text2: the people who are sending these messages are infringing on my rights and everyone else 's rights to use your computer , "" mckechnie said .",4.4,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,778,79,857,4.775352239608765
"text1: "" fighting continued until midnight , "" western rebel commander ousmane coulibaly told reuters by satellite phone on sunday .  text2: "" they ransacked and burned the two villages completely , "" rebel commander ousmane coulibaly told reuters by satellite phone from the bush .",2.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,771,72,843,3.2663474082946777
text1: the reading for both august and july is the best seen since the survey began in august 1997 .  text2: it is the highest reading since the index was created in august 1997 .,3.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,751,70,821,4.265336513519287
"text1: "" generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction , "" gates writes , warming us up for the punchline .  text2: generally unwanted — and often pornographic or with fraudulent intent — spam is a nuisance and a distraction , "" gates writes .",4.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,770,73,843,4.43686318397522
"text1: us special forces troops are training colombian soldiers at military bases in the region to protect the pipeline , which transports crude from colombia 's second-biggest oil field .  text2: u.s. special forces troops are training colombian soldiers at military bases in the region to protect the pipeline .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,769,69,838,4.3015642166137695
"text1: the retailer said it came to the decision after hearing the opinions of customers and associates .  text2: the decision came after "" listening to our customers and associates , "" melissa berryhill , a spokeswoman for wal-mart , said .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,757,128,885,6.982259750366211
"text1: lord falconer hailed the changes as "" a new beginning as far as the courts , crown prosecution service and police are concerned "" .  text2: "" it 's a new beginning as far as the courts , crown prosecution service and police are concerned , making the criminal justice system work better . """,3.0,3.2,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,770,73,843,4.43686318397522
"text1: we need a certifiable pay as you go budget by mid-july or schools wont open in september , strayhorn said .  text2: texas lawmakers must close a $ 185.9 million budget gap by the middle of july or the schools wont open in september , comptroller carole keeton strayhorn said thursday .",2.6,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,777,75,852,4.58610200881958
"text1: shares of hartford rose $ 2.88 to $ 46.50 in new york stock exchange composite trading .  text2: shares of hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .",2.5,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,767,128,895,7.03660774230957
text1: the dvd-cca then appealed to the state supreme court .  text2: the dvd cca appealed that decision to the u.s. supreme court .,4.5,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,740,25,765,2.218419313430786
"text1: "" we believe we are fully prepared to roll out the [ touch-screen ] machines for the 2004 presidential primary , "" said gilles w. burger , state board of elections chairman .  text2: "" we believe we are fully prepared to roll out the revised diebold machines , "" said gilles w. burger , chairman of the maryland state board of elections .",3.75,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,785,129,914,7.157907247543335
"text1: country-music station kkcs has suspended two disc jockeys for playing songs by the dixie chicks in violation of a ban imposed after one group member criticized president george bush .  text2: a radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing dixie chicks songs , violating the station 's two-month-old ban on the group 's music .",3.25,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,792,84,876,4.773009777069092
"text1: the technology-laced nasdaq composite index < .ixic > jumped 26 points , or 1.78 percent , to 1,516 .  text2: the broad standard & poor 's 500 index .spx was up 8.79 points , or 0.96 percent , at 929.06 .",0.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,780,73,853,4.440483570098877
"text1: business week 's online edition reported on friday that worldcom and the sec could announce a settlement as early as monday .  text2: businessweek online has learned that the settlement could come as early as monday , may 19 .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,5,761,1.3973705768585205
"text1: sovereign 's shares lost 74 cents , or 4.5 % , to $ 15.68 .  text2: sovereign shares closed on the new york stock exchange at $ 15.68 , down 74 cents , or 4.5 percent .",4.0,4.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,764,66,830,4.143823623657227
"text1: aspen technology 's shares dropped 74 cents , or 23 percent , to close at $ 2.48 on the nasdaq .  text2: in afternoon trading , aspen 's shares were off 89 cents or more than 27 percent at $ 2.33 per share .",2.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,771,72,843,3.2663474082946777
text1: the new law requires libraries and schools to use filters or lose federal financing .  text2: the 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money .,2.8,1.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,749,71,820,4.304431200027466
"text1: in addition , it offered the united states and israel a way to work around mr. arafat .  text2: when the prime minister 's position was established in the spring , it offered the united states and israel a way to work around arafat .",3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,765,65,830,4.095237970352173
"text1: and yes , marilyn monroe is definitely part of the story , titled "" arthur miller , elia kazan and the blacklist : none without sin . ""  text2: note the subheading of this terrible parable in the "" american masters "" series , "" arthur miller , elia kazan and the blacklist : none without sin . """,2.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,781,72,853,4.440483570098877
"text1: gilroy police and fbi agents described gehring as cooperative , but said saturday that he had revealed nothing about what had happened to the children .  text2: saturday , officials in california described gehring as cooperative — but said he has revealed nothing about what has happened to the children .",3.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,770,73,843,4.43686318397522
"text1: scribner 's body was found floating in the city 's portage bay , where he lived with his wife in a houseboat .  text2: a kayaker found dr. scribner 's body floating near the doctor 's houseboat in portage bay , where he was eating lunch when his wife , ethel , left for an appointment .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,784,85,869,5.079863786697388
"text1: after protesters rushed the stage and twice cut power to the microphone , hedges drew the speech to an early close .  text2: after protesters rushed the stage and twice cut power to the microphone , hedges cut his speech short .",5.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,56,812,2.7713656425476074
"text1: a passer-by found ben hiding along a dirt road in spanish fork canyon about 7 p.m. , with his hands still taped together but his feet free .  text2: a passer-by found the boy hiding along a dirt road in spanish fork canyon about 7 p.m. thursday , with his feet free but his hands still taped .",4.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,779,82,861,4.913747310638428
"text1: analysts expected earnings of 27 cents a share on revenue of $ 17.7 billion , thomson first call says .  text2: hewlett-packard is putting in for a second-quarter profit of $ 659 million , or 29 cents a share , on revenue of $ 18 billion .",1.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,774,5,779,1.4263534545898438
"text1: doctors say one or both boys may die , and that some brain damage is possible if they survive .  text2: doctors said that one or both of the boys may die and that if they survive , some brain damage is possible .",5.0,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,56,812,2.7713656425476074
"text1: another was in serious condition at northwest medical center in springdale .  text2: at northwest medical center of washington county in springdale , one child is in serious condition .",3.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,744,9,753,1.5300602912902832
"text1: "" i started crying and yelling at him , ' what do you mean , what are you saying , why did you lie to me ? ' ""  text2: gulping for air , i started crying and yelling at him , ' what do you mean ?",3.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,761,62,823,3.9478707313537598
"text1: sean harrigan , president of the california public employees ' retirement system , also suggested paring down the nyse 's 27-member board , changing its composition and making it more accountable .  text2: sean harrigan , president of the california public employees ' retirement system , also suggested paring the nyse 's 27-member board and allotting more seats to investors outside the securities industry .",3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,792,84,876,4.773009777069092
"text1: also missing is al larsen , 31 , of fort worth , texas , who was in another vehicle swept off the turnpike .  text2: the other victim recovered tuesday morning was al larsen , 31 , of fort worth , texas .",2.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,763,71,834,4.364145994186401
"text1: british-based glaxosmithkline plc said earlier this year it would cut off supplies to canadian drugstores that ship to the united states .  text2: glaxosmithkline , the uk drugmaker , has said it would cut off supplies to canadian stores shipping drugs to the us .",4.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,770,73,843,4.43686318397522
"text1: the festival kicked off yesterday one day after the competition commission delivered its final verdict to the government on the proposed £ 4.1 billion merger .  text2: the competition commission delivered its verdict yesterday on the proposed merger of the two big itv players , carlton and granada .",2.818,2.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,768,70,838,4.347352504730225
"text1: the swedish central bank was also meeting on wednesday and widely expected to announce a cut on thursday .  text2: the swedish central bank , also meeting on wednesday , is widely expected to announce a cut on thursday of as much as half a percentage point .",3.2,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,766,129,895,7.03660774230957
"text1: it was the third time in four years that wildfires forced the park to close .  text2: for the third time in four years wildfires closed mesa verde national park , the country ’ s only park dedicated to ancient ruins .",3.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,754,55,809,3.623018503189087
"text1: gm , the world 's largest automaker , has 115,000 active uaw workers and another 340,000 retirees and spouses .  text2: they cover more than 300,000 uaw workers and 500,000 retirees and spouses .",2.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,762,37,799,2.8265018463134766
"text1: his 1996 chevrolet tahoe was found abandoned in a virginia beach , va . , parking lot june 25 .  text2: his sport utility vehicle was found june 25 , abandoned without its license plates in virginia beach , va .",3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,763,71,834,4.364145994186401
"text1: she said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car .  text2: she said she eventually allowed him to fix her bike while she sat in his car , and they chatted .",3.875,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,759,5,764,1.4042856693267822
text1: heatley was sixth in the league in goals last season with 41 and ninth in points with 89 .  text2: heatley led atlanta in scoring last season with a team-record 41 goals and 48 assists .,3.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,56,812,2.7713656425476074
"text1: daniels said he doesn 't know what bush will have to say about him at tonight 's $ 2,000-per-person presidential fund-raiser .  text2: daniels said he doesn 't know what bush will say at tonight 's $ 2,000-per-person reception to raise funds for his presidential re-election bid .",4.4,3.2,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,781,72,853,4.440483570098877
