Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,sc_raw_samples,sc_parsed_samples
arnold 's jump from little screen to big will leave frowns on more than a few faces .,negative,negative,"than a few faces .

Label:
assistant
<think>

</think>

negative",515,725,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""than a few faces .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""than a few faces .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""than a few faces .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""than a few faces .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""than a few faces .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text uses the phrase \""leave frowns on more than a few faces,\"" which indicates that the action (Arnold's jump from little screen to big) will cause displeasure or criticism. This sentiment is clearly unfavorable.\n\n1.  **Analyze sentiment**: The phrase \""frowns on\"" means to disapprove of or oppose.\n2.  **Evaluate intensity**: \""More than a few faces\"" suggests a moderate number of people, not necessarily the majority (which would imply \""very negative\"") or just a single person. It leans towards a generally negative reception but not an extreme one.\n3.""]","[""1"", ""1"", ""1"", ""1"", ""0""]"
"a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided .",neutral,negative,"have avoided .

Label:
assistant
<think>

</think>

negative",525,715,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""have avoided .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""have avoided .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral"", ""have avoided .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text begins by acknowledging a positive aspect (\""reasonably efficient\""), but the tone shifts significantly with phrases like \""few surprises\"" (implying boredom or lack of excitement) and \""stars slumming in territory they should have avoided\"" (implying failure or poor performance by the stars). The overall sentiment is critical and dissatisfied.\n\nLabel: negative"", ""have avoided .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes a mechanism as \""reasonably efficient\"" (a positive attribute) but immediately qualifies this with \""few surprises\"" and negatively characterizes the stars as being in \""territory they should have avoided.\"" The phrase \""territory they should have avoided\"" implies a significant failure or mistake, and the overall tone suggests disappointment despite the initial efficiency. The criticism outweighs the praise, leaning towards a negative sentiment rather than a neutral one.\n\nLabel: negative"", ""have avoided .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text contains mixed elements: \""reasonably efficient\"" is positive, but \""few surprises\"" and the criticism that stars are \""slumming in territory they should have avoided\"" are negative. The criticism of the stars' performance is the stronger sentiment, suggesting the overall review is not entirely positive, but the acknowledgment of efficiency prevents it from being purely negative. Therefore, \""negative\"" fits better than \""very negative\"" or \""neutral\"".\n\nLabel: negative""]","[""1"", ""2"", ""1"", ""1"", ""1""]"
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",very negative,negative,negative,600,640,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""negative"", ""negative"", ""negative"", ""negative"", ""negative""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",positive,positive,"assistant
<think>

</think>

The text begins with negative observations (""cheesy effects,"" ""hoary plot""), but the conjunction ""but"" introduces a stronger positive sentiment where the humor ""makes up for a lot."" The phrase ""makes up for a lot"" indicates that the flaws are compensated for by the strengths, resulting in an overall favorable review. Therefore, the sentiment is positive, though perhaps not ""very positive"" given the initial criticisms, but definitely leaning towards the positive side of the spectrum.

Label: positive",560,680,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""assistant\n<think>\n\n</think>\n\nThe text begins with negative observations (\""cheesy effects,\"" \""hoary plot\""), but the conjunction \""but\"" introduces a stronger positive sentiment where the humor \""makes up for a lot.\"" The phrase \""makes up for a lot\"" indicates that the flaws are compensated for by the strengths, resulting in an overall favorable review. Therefore, the sentiment is positive, though perhaps not \""very positive\"" given the initial criticisms, but definitely leaning towards the positive side of the spectrum.\n\nLabel: positive"", ""assistant\n<think>\n\n</think>\n\npositive"", ""assistant\n<think>\n\n</think>\n\nnegative"", ""assistant\n<think>\n\n</think>\n\nThe text contains mixed signals: it criticizes the \""cheesy effects\"" and \""hoary plot\"" (negative aspects), but it concludes that the \""macabre, self-deprecating sense of humor makes up for a lot\"" (positive aspect).\n\nSince the final clause explicitly states that the humor compensates for the flaws (\""makes up for a lot\""), the overall sentiment leans towards approval rather than rejection. It is not \""very positive\"" because of the initial criticism, but it is not \""neutral\"" because there is a clear justification for liking the movie despite the flaws. Therefore, \""positive\"" is the most appropriate classification"", ""assistant\n<think>\n\n</think>\n\nThe text begins with negative descriptors (\""cheesy effects,\"" \""hoary plot\""), but the phrase \""makes up for a lot\"" indicates that these flaws are outweighed by the positive attributes (\""macabre, self-deprecating sense of humor\""). The overall sentiment is appreciative and approving, leaning towards the positive end of the spectrum rather than being neutral or negative.\n\nLabel: positive""]","[""3"", ""3"", ""1"", ""4"", ""3""]"
"even as lame horror flicks go , this is lame .",negative,very negative,"text:
even as lame horror flicks go , this is lame .

Label:
assistant
<think>

</think>

The text uses the word ""lame"" twice to describe a horror movie. While it qualifies the criticism as ""even as lame horror flicks go,"" the core sentiment is still a strong negative opinion, indicating the movie is uninteresting or poor. This falls into the negative category, leaning towards ""very negative"" due to the repetition and intensity of the word ""lame.""

Label: very negative",465,775,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""text:\neven as lame horror flicks go , this is lame .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\neven as lame horror flicks go , this is lame .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text uses the word \""lame\"" twice to describe a horror movie. While it qualifies the criticism as \""even as lame horror flicks go,\"" the core sentiment is still a strong negative opinion, indicating the movie is uninteresting or poor. This falls into the negative category, leaning towards \""very negative\"" due to the repetition and intensity of the word \""lame.\""\n\nLabel: very negative"", ""text:\neven as lame horror flicks go , this is lame .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\neven as lame horror flicks go , this is lame .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text uses the phrase \""lame horror flicks\"" to describe the genre, indicating it is not a good horror movie. However, the modifier \""even as... go\"" implies that the movie is not *terrible* within the context of the genre; it is just bad compared to the worst examples.\n\n1.  **Analyze sentiment**: The word \""lame\"" is negative, but the framing \""even as... go\"" softens the blow, suggesting a mild disappointment rather than a total rejection.\n2.  **Compare candidates**:\n    *   *Very negative*: Usually implies the text hates the content"", ""text:\neven as lame horror flicks go , this is lame .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text uses the phrase \""even as lame horror flicks go\"" to imply that the movie is worse than the worst horror movies. The repetition of the word \""lame\"" reinforces the criticism. This indicates a strong negative sentiment.\n\nLabel: very negative""]","[""1"", ""0"", ""1"", ""0"", ""0""]"
"oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",negative,neutral,"<think>

</think>

neutral",575,665,1240,2.7343989903092734,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""<think>\n\n</think>\n\nvery negative"", ""<think>\n\n</think>\n\nnegative"", ""<think>\n\n</think>\n\nneutral"", ""<think>\n\n</think>\n\nneutral"", ""<think>\n\n</think>\n\nneutral""]","[""0"", ""1"", ""2"", ""2"", ""2""]"
"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .",very positive,positive,"Label:
assistant
<think>

</think>

positive",565,700,1265,2.527746114312322,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""Label:\nassistant\n<think>\n\n</think>\n\npositive"", ""Label:\nassistant\n<think>\n\n</think>\n\npositive"", ""Label:\nassistant\n<think>\n\n</think>\n\npositive"", ""Label:\nassistant\n<think>\n\n</think>\n\npositive"", ""Label:\nassistant\n<think>\n\n</think>\n\npositive""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign .",very negative,negative,"</think>

negative",615,650,1265,2.527746114312322,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""</think>\n\nnegative"", ""</think>\n\nnegative"", ""</think>\n\nThe text states that when a director's pre-shooting guidelines are \""cleverer,\"" \""better written,\"" and \""of considerable more interest\"" than the final film, it represents a \""bad sign.\"" The phrase \""bad sign\"" indicates a negative outlook or prediction regarding the quality of the film. Therefore, the sentiment is negative.\n\nLabel: negative"", ""</think>\n\nnegative"", ""</think>\n\nThe text describes a situation where the pre-production guidelines were superior to the final product, explicitly stating that this scenario \""is a bad sign.\"" The phrase \""bad sign\"" indicates a negative outlook or warning. Therefore, the sentiment is negative.\n\nLabel: negative""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
"william shatner , as a pompous professor , is the sole bright spot ...",neutral,positive,"ner , as a pompous professor , is the sole bright spot ...

Label:
assistant
<think>

</think>

positive",495,770,1265,2.527746114312322,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""ner , as a pompous professor , is the sole bright spot ...\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""ner , as a pompous professor , is the sole bright spot ...\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""ner , as a pompous professor , is the sole bright spot ...\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe input text uses the phrase \""sole bright spot\"" to describe William Shatner's performance. This is a positive idiom meaning he is the only thing in the review that stands out in a good way. While the context (\""pompous professor\"") is critical, the specific evaluation of the actor is praise. Therefore, the sentiment leans towards positive.\n\nLabel: positive"", ""ner , as a pompous professor , is the sole bright spot ...\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""ner , as a pompous professor , is the sole bright spot ...\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text begins with a negative descriptor (\""pompous professor\"") but immediately pivots to a highly positive evaluation (\""sole bright spot\""). The phrase \""bright spot\"" implies that despite other flaws, this specific performance is the best part of the work, indicating a strong endorsement. In sentiment analysis, when a text highlights the single best aspect of something that might otherwise be criticized, it usually leans towards a positive classification, specifically \""positive\"" rather than \""very positive\"" (which would likely lack the nuance of the preceding criticism) or \""neutral\"".\n\nLabel: positive""]","[""3"", ""1"", ""3"", ""3"", ""3""]"
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",very positive,very positive,"The text describes a film that captures the ""strange, stark beauty"" of the desert and is filmed in a way that is ""lovingly and perceptively"" done, evoking a sensory experience (""almost taste the desiccated air""). The use of adjectives like ""lovingly,"" ""perceptively,"" and ""beautiful"" indicates a strong appreciation and praise for the work. While ""strange"" and ""stark"" can have neutral or slightly negative connotations, in this context, they contribute to the unique beauty being celebrated. The overall tone is highly complimentary.

Label: very positive",620,645,1265,2.527746114312322,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""The text describes a film that captures the \""strange, stark beauty\"" of the desert and is filmed in a way that is \""lovingly and perceptively\"" done, evoking a sensory experience (\""almost taste the desiccated air\""). The use of adjectives like \""lovingly,\"" \""perceptively,\"" and \""beautiful\"" indicates a strong appreciation and praise for the work. While \""strange\"" and \""stark\"" can have neutral or slightly negative connotations, in this context, they contribute to the unique beauty being celebrated. The overall tone is highly complimentary.\n\nLabel: very positive"", ""The text uses highly positive descriptors such as \""lovingly,\"" \""perceptively,\"" and \""beautiful.\"" While it mentions \""discord\"" and \""strange,\"" these are framed as artistic contrasts that enhance the film's appeal rather than criticisms of the content itself. The phrase \""almost taste the desiccated air\"" suggests an immersive and vivid experience. Overall, the sentiment is strongly appreciative.\n\nLabel: very positive"", ""positive"", ""positive"", ""The text describes the film with highly complimentary language. Key phrases include \""lovingly and perceptively filmed,\"" \""strange, stark beauty,\"" and the vivid description of the air that makes the viewer feel immersed (\""almost taste the desiccated air\""). While it mentions \""discord,\"" the overall tone is appreciative of the artistic execution and the visual experience. This exceeds simple positivity to a high degree of praise.\n\nLabel: very positive""]","[""4"", ""4"", ""3"", ""3"", ""4""]"
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",positive,very positive,"assistant
<think>

</think>

The text addresses readers who have not been desensitized to horror and identifies the content as suitable for ""psychological horror"" enthusiasts, describing it as ""your ticket."" This indicates a strong recommendation and enthusiastic endorsement of the text's genre and quality.

Label: very positive",580,685,1265,2.527746114312322,0.4656108597285068,0.4656108597285068,0.4344198869605636,"[""assistant\n<think>\n\n</think>\n\npositive"", ""assistant\n<think>\n\n</think>\n\nThe text addresses readers who have not been desensitized to horror and identifies the content as suitable for \""psychological horror\"" enthusiasts, describing it as \""your ticket.\"" This indicates a strong recommendation and enthusiastic endorsement of the text's genre and quality.\n\nLabel: very positive"", ""assistant\n<think>\n\n</think>\n\npositive"", ""assistant\n<think>\n\n</think>\n\nvery positive"", ""assistant\n<think>\n\n</think>\n\nvery positive""]","[""3"", ""4"", ""3"", ""4"", ""4""]"
