Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sc_raw_samples,sc_parsed_samples
"two egyptian border guards were killed wednesday in clashes with palestinian militants near the rafah crossing on the border with gaza , a medical source said .",two egyptian guards killed on border with gaza,", a medical source said .

Summary:
assistant
<think>

</think>

Two Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza.",", a medical source said .

Summary:
assistant
<think>

</think>

Two Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza.",480,295,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"["", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza on Wednesday."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed Wednesday in clashes with Palestinian militants near the Rafah crossing."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing on Wednesday."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed Wednesday in clashes with Palestinian militants near the Rafah crossing.""]","["", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza on Wednesday."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed Wednesday in clashes with Palestinian militants near the Rafah crossing."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing on Wednesday."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing with Gaza."", "", a medical source said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nTwo Egyptian border guards were killed Wednesday in clashes with Palestinian militants near the Rafah crossing.""]"
"stephen harper and his conservative party pulled ahead of prime minister paul martin 's liberals wednesday , weeks before canada 's federal election on january ## , according to the latest poll .",conservatives gain momentum ahead of ruling liberals,"Summary:
assistant
<think>

</think>

A new poll shows Stephen Harper's Conservatives have pulled ahead of Prime Minister Paul Martin's Liberals in the weeks leading up to Canada's federal election on January 10.","Summary:
assistant
<think>

</think>

A new poll shows Stephen Harper's Conservatives have pulled ahead of Prime Minister Paul Martin's Liberals in the weeks leading up to Canada's federal election on January 10.",510,265,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""Summary:\nassistant\n<think>\n\n</think>\n\nA recent poll shows Stephen Harper's conservative party has gained ground over Prime Minister Paul Martin's Liberals ahead of Canada's federal election in January."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA recent poll indicates that Stephen Harper's conservative party has gained ground over Prime Minister Paul Martin's Liberals, weeks before the upcoming federal election on January 2."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA new poll shows Stephen Harper's Conservatives have pulled ahead of Prime Minister Paul Martin's Liberals in the weeks leading up to Canada's federal election on January 10."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIn the latest poll, Conservative leader Stephen Harper and his party are leading Prime Minister Paul Martin's Liberals, weeks before Canada's federal election on January 15."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA new poll shows Stephen Harper's Conservatives have gained ground over Prime Minister Paul Martin's Liberals ahead of the January federal election.""]","[""Summary:\nassistant\n<think>\n\n</think>\n\nA recent poll shows Stephen Harper's conservative party has gained ground over Prime Minister Paul Martin's Liberals ahead of Canada's federal election in January."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA recent poll indicates that Stephen Harper's conservative party has gained ground over Prime Minister Paul Martin's Liberals, weeks before the upcoming federal election on January 2."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA new poll shows Stephen Harper's Conservatives have pulled ahead of Prime Minister Paul Martin's Liberals in the weeks leading up to Canada's federal election on January 10."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIn the latest poll, Conservative leader Stephen Harper and his party are leading Prime Minister Paul Martin's Liberals, weeks before Canada's federal election on January 15."", ""Summary:\nassistant\n<think>\n\n</think>\n\nA new poll shows Stephen Harper's Conservatives have gained ground over Prime Minister Paul Martin's Liberals ahead of the January federal election.""]"
dutch bank abn amro was hit wednesday with its second us fine in two months after settling a government probe into its mortgage lending in the industrial state of michigan .,abn amro hit with second us fine,"michigan .

Summary:
assistant
<think>

</think>

ABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan.","michigan .

Summary:
assistant
<think>

</think>

ABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan.",495,280,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro was fined by the US government for a second time in two months after settling a probe into its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nDutch bank ABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro, a Dutch bank, settled a Michigan government probe into its mortgage lending, marking its second US fine in two months."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro received its second US fine in two months after settling a government probe regarding its mortgage lending activities in Michigan.""]","[""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro was fined by the US government for a second time in two months after settling a probe into its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nDutch bank ABN Amro faced its second US fine in two months after settling a government probe regarding its mortgage lending practices in Michigan."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro, a Dutch bank, settled a Michigan government probe into its mortgage lending, marking its second US fine in two months."", ""michigan .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nABN Amro received its second US fine in two months after settling a government probe regarding its mortgage lending activities in Michigan.""]"
"the buffalo bills sacked tom donahoe as president and general manager on wednesday , fulfilling expectations of a shake-up after another failure to make the national football league playoffs .",nfl 's bills shake up front office,"national football league playoffs .

Summary:
assistant
<think>

</think>

The Buffalo Bills sacked Tom Donahoe as president and general manager following another missed playoff appearance.","national football league playoffs .

Summary:
assistant
<think>

</think>

The Buffalo Bills sacked Tom Donahoe as president and general manager following another missed playoff appearance.",485,290,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager on Wednesday, ending his tenure following another playoff miss."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager on Wednesday, fulfilling expectations of a leadership shake-up following another missed playoff appearance."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills fired president and general manager Tom Donahoe on Wednesday, following a playoff failure."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager following another missed playoff appearance."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills have sacked Tom Donahoe as president and general manager following another missed playoff appearance.""]","[""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager on Wednesday, ending his tenure following another playoff miss."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager on Wednesday, fulfilling expectations of a leadership shake-up following another missed playoff appearance."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills fired president and general manager Tom Donahoe on Wednesday, following a playoff failure."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills sacked Tom Donahoe as president and general manager following another missed playoff appearance."", ""national football league playoffs .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe Buffalo Bills have sacked Tom Donahoe as president and general manager following another missed playoff appearance.""]"
tottenham sealed a miserable festive period for a toothless manchester city here wednesday with a #-# win thanks to goals from their confident striking duo of ahmed mido and robbie keane .,spurs compound manchester city woes,":
assistant
<think>

</think>

Tottenham secured a victory over a goalless Manchester City, ending City's festive period on a low note thanks to goals from Ahmed Mido and Robbie Keane.",":
assistant
<think>

</think>

Tottenham secured a victory over a goalless Manchester City, ending City's festive period on a low note thanks to goals from Ahmed Mido and Robbie Keane.",520,255,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"["":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over Manchester City with goals from Ahmed Mido and Robbie Keane, marking a poor festive period for the toothless City side."", "":\nassistant\n<think>\n\n</think>\n\nManchester City suffered a miserable festive loss to Tottenham, with goals from Ahmed Mido and Robbie Keane securing the victory for Spurs."", "":\nassistant\n<think>\n\n</think>\n\nManchester City suffered a miserable festive loss to Tottenham, winning thanks to goals from their striking duo of Ahmed Mido and Robbie Keane."", "":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over a goalless Manchester City, ending City's festive period on a low note thanks to goals from Ahmed Mido and Robbie Keane."", "":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over a struggling Manchester City, with Ahmed Mido and Robbie Keane scoring the goals.""]","["":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over Manchester City with goals from Ahmed Mido and Robbie Keane, marking a poor festive period for the toothless City side."", "":\nassistant\n<think>\n\n</think>\n\nManchester City suffered a miserable festive loss to Tottenham, with goals from Ahmed Mido and Robbie Keane securing the victory for Spurs."", "":\nassistant\n<think>\n\n</think>\n\nManchester City suffered a miserable festive loss to Tottenham, winning thanks to goals from their striking duo of Ahmed Mido and Robbie Keane."", "":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over a goalless Manchester City, ending City's festive period on a low note thanks to goals from Ahmed Mido and Robbie Keane."", "":\nassistant\n<think>\n\n</think>\n\nTottenham secured a victory over a struggling Manchester City, with Ahmed Mido and Robbie Keane scoring the goals.""]"
"the dollar fell to a two-month low against the euro wednesday on expectations that us interest rates will soon stop going up , depriving the greenback of its biggest investment appeal .",us rate outlook sends dollar to two-month low against euro,"investment appeal .

Summary:
assistant
<think>

</think>

The dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment appeal.","investment appeal .

Summary:
assistant
<think>

</think>

The dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment appeal.",495,280,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro on Wednesday due to expectations that rising US interest rates will soon stall, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro on Wednesday due to expectations that rising US interest rates will soon stall, reducing the currency's investment attractiveness."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar hit a two-month low against the euro due to expectations that rising US interest rates will soon stall, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment attractiveness.""]","[""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro on Wednesday due to expectations that rising US interest rates will soon stall, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro on Wednesday due to expectations that rising US interest rates will soon stall, reducing the currency's investment attractiveness."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar hit a two-month low against the euro due to expectations that rising US interest rates will soon stall, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment appeal."", ""investment appeal .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nThe dollar dropped to a two-month low against the euro due to expectations that rising US interest rates will soon halt, reducing the currency's investment attractiveness.""]"
"two top us movie groups picked their #### awards nominees wednesday , with gay drama `` brokeback mountain , '' george clooney 's `` good night and good '' luck and `` crash '' taking early leads in the oscars race .",top us movie groups pick awards nominees as oscars loom,"</think>

Two major US movie groups announced their Oscar nominees on Wednesday, with ""Brokeback Mountain,"" ""Good Night and Good Luck,"" and ""Crash"" taking early leads.","</think>

Two major US movie groups announced their Oscar nominees on Wednesday, with ""Brokeback Mountain,"" ""Good Night and Good Luck,"" and ""Crash"" taking early leads.",555,220,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""</think>\n\nTwo top US movie groups announced their Oscar nominees on Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" leading the race."", ""</think>\n\nTwo major US movie groups released their Oscar nominees, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" leading the race."", ""</think>\n\nTwo top US movie groups announced their Oscar nominees Wednesday, with *Brokeback Mountain*, *Good Night and Good Luck*, and *Crash* taking early leads."", ""</think>\n\nTwo major US movie groups announced their Oscar nominees on Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" taking early leads."", ""</think>\n\nTwo top US movie groups announced their Oscar nominees Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" emerging as early leaders in the race.""]","[""</think>\n\nTwo top US movie groups announced their Oscar nominees on Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" leading the race."", ""</think>\n\nTwo major US movie groups released their Oscar nominees, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" leading the race."", ""</think>\n\nTwo top US movie groups announced their Oscar nominees Wednesday, with *Brokeback Mountain*, *Good Night and Good Luck*, and *Crash* taking early leads."", ""</think>\n\nTwo major US movie groups announced their Oscar nominees on Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" taking early leads."", ""</think>\n\nTwo top US movie groups announced their Oscar nominees Wednesday, with \""Brokeback Mountain,\"" \""Good Night and Good Luck,\"" and \""Crash\"" emerging as early leaders in the race.""]"
"right fielder jeromy burnitz inked a one-year , #.# million-dollar contract with the pittsburgh pirates on wednesday , a week after he was reported as close to a deal with baltimore .",pirates ink outfielder burnitz to one-year deal,"assistant
<think>

</think>

Jeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after reportedly nearing a deal with Baltimore.","assistant
<think>

</think>

Jeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after reportedly nearing a deal with Baltimore.",525,250,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""assistant\n<think>\n\n</think>\n\nJeromy Burnitz has signed a one-year, $2 million contract with the Pittsburgh Pirates, ending his potential deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after reportedly nearing a deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after nearly agreeing to a deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after being reported as close to a deal with Baltimore.""]","[""assistant\n<think>\n\n</think>\n\nJeromy Burnitz has signed a one-year, $2 million contract with the Pittsburgh Pirates, ending his potential deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after reportedly nearing a deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after nearly agreeing to a deal with Baltimore."", ""assistant\n<think>\n\n</think>\n\nJeromy Burnitz signed a one-year contract with the Pittsburgh Pirates after being reported as close to a deal with Baltimore.""]"
us president george w. bush said late wednesday that he and the first lady shared `` the concerns of the israeli people about prime minister ariel sharon 's health '' and were praying for his recovery .,bush says he shares israelis concern over sharon,"assistant
<think>

</think>

U.S. President George W. Bush stated that he and First Lady Laura Bush share the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery.","assistant
<think>

</think>

U.S. President George W. Bush stated that he and First Lady Laura Bush share the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery.",535,240,775,0.8873384748767421,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""assistant\n<think>\n\n</think>\n\nU.S. President George W. Bush stated that he and Laura Bush shared the Israeli people's concerns regarding Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nU.S. President George W. Bush stated that he and First Lady Laura Bush share the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and First Lady Laura shared concerns over Israeli Prime Minister Ariel Sharon's health and were praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and Laura Bush shared the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and the First Lady share the Israeli people's concerns regarding Prime Minister Ariel Sharon's health and are praying for his recovery.""]","[""assistant\n<think>\n\n</think>\n\nU.S. President George W. Bush stated that he and Laura Bush shared the Israeli people's concerns regarding Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nU.S. President George W. Bush stated that he and First Lady Laura Bush share the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and First Lady Laura shared concerns over Israeli Prime Minister Ariel Sharon's health and were praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and Laura Bush shared the Israeli people's concerns over Prime Minister Ariel Sharon's health and are praying for his recovery."", ""assistant\n<think>\n\n</think>\n\nPresident George W. Bush stated that he and the First Lady share the Israeli people's concerns regarding Prime Minister Ariel Sharon's health and are praying for his recovery.""]"
"the prime minister of burkina faso , UNK ernest yonli , has handed in his resignation to president blaise compaore , the president 's office announced wednesday .",burkina faso 's prime minister resigns,"Burkina Faso's Prime Minister, Ernest Yonli, has resigned to President Blaise Compaore.","Burkina Faso's Prime Minister, Ernest Yonli, has resigned to President Blaise Compaore.",510,205,715,0.9104889481859573,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""Burkina Faso's Prime Minister, Ernest Yonli, has submitted his resignation to President Blaise Compaore."", ""Burkina Faso's Prime Minister Ernest Yonli has submitted his resignation to President Blaise Compaore."", ""Burkina Faso's Prime Minister, Ernest Yonli, has resigned to President Blaise Compaore."", ""Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore."", ""Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore.""]","[""Burkina Faso's Prime Minister, Ernest Yonli, has submitted his resignation to President Blaise Compaore."", ""Burkina Faso's Prime Minister Ernest Yonli has submitted his resignation to President Blaise Compaore."", ""Burkina Faso's Prime Minister, Ernest Yonli, has resigned to President Blaise Compaore."", ""Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore."", ""Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore.""]"
"a top hollywood event promoter is seeking a court order to stop socialite and hotel heiress paris hilton from allegedly harassing him and threatening his life , court documents showed wednesday .",man seeks stay-away order against paris hilton,"</think>

A top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.","</think>

A top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.",500,215,715,0.9104889481859573,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop socialite Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.""]","[""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop socialite Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life."", ""</think>\n\nA top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.""]"
"the un security council will hold a ministerial session on the situation in africa 's great lakes region late this month , UNK 's un envoy augustine UNK said wednesday .",security council to hold ministerial session on africa 's great lakes,"</think>

The UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month.","</think>

The UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month.",505,210,715,0.9104889481859573,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""</think>\n\nThe UN Security Council will hold a ministerial session regarding the situation in Africa's Great Lakes region late this month."", ""</think>\n\nThe UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month."", ""</think>\n\nThe UN Security Council will hold a ministerial session regarding the situation in Africa's Great Lakes region later this month."", ""</think>\n\nThe UN Security Council is set to hold a ministerial session on the situation in Africa's Great Lakes region late this month, according to UN envoy Augustine Ngig."", ""</think>\n\nThe UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month, according to UN envoy Augustine Ngige.""]","[""</think>\n\nThe UN Security Council will hold a ministerial session regarding the situation in Africa's Great Lakes region late this month."", ""</think>\n\nThe UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month."", ""</think>\n\nThe UN Security Council will hold a ministerial session regarding the situation in Africa's Great Lakes region later this month."", ""</think>\n\nThe UN Security Council is set to hold a ministerial session on the situation in Africa's Great Lakes region late this month, according to UN envoy Augustine Ngig."", ""</think>\n\nThe UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region late this month, according to UN envoy Augustine Ngige.""]"
political leaders in israel united in prayers for ariel sharon on thursday as the prime minister underwent emergency surgery after suffering a massive stroke .,israeli leaders unite in prayer for ailing sharon,"Summary:
assistant
<think>

</think>

Israeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke.","Summary:
assistant
<think>

</think>

Israeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke.",455,260,715,0.9104889481859573,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders joined in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayers for Prime Minister Ariel Sharon following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayer for Prime Minister Ariel Sharon following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders joined prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke.""]","[""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders joined in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayers for Prime Minister Ariel Sharon following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayer for Prime Minister Ariel Sharon following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders joined prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke."", ""Summary:\nassistant\n<think>\n\n</think>\n\nIsraeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following his emergency surgery for a massive stroke.""]"
