Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,love,"baba on our journey

Label:
assistant
<think>

</think>

The text expresses deep gratitude and a profound sense of connection and comfort (""holding me and my baba""). The speaker feels ""beautifully emotional"" due to the support received from the women, which evokes feelings of affection, warmth, and deep care. Among the candidate labels, ""love"" best captures the essence of this emotional bond, gratitude, and the feeling of being cared for.

Label: love",106,145,251,1.3720758966883295,0.5645,0.5645,0.3941372477046873
i pay attention it deepens into a feeling of being invaded and helpless,fear,anger,":
i pay attention it deepens into a feeling of being invaded and helpless

Label:
assistant
<think>

</think>

anger",95,156,251,1.3720758966883295,0.5645,0.5645,0.3941372477046873
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,love,"the group of people that i dont even need to hide myself

Label:
assistant
<think>

</think>

The text expresses a feeling of comfort, lack of need to hide, and a sense of belonging within a group. These emotions are positive and associated with affection and contentment. Among the candidate labels, ""love"" is the only one that encompasses feelings of warmth, acceptance, and positive connection, whereas the others (sadness, anger, fear, surprise) are negative or neutral, and ""joy"" is more about excitement or happiness rather than the specific feeling of safety and connection described here.

Label: love",99,152,251,1.3720758966883295,0.5645,0.5645,0.3941372477046873
i find myself in the odd position of feeling supportive of,love,love,"final label.

Input text:
i find myself in the odd position of feeling supportive of

Label:
assistant
<think>

</think>

The input text ""i find myself in the odd position of feeling supportive of"" describes a state of providing help, care, or emotional backing to someone else. Among the candidate labels (sadness, joy, love, anger, fear, surprise), ""love"" is the only one that encompasses the positive, caring, and supportive emotions implied by the phrase ""feeling supportive."" While the speaker feels an ""odd position,"" the core emotion being described is one of support and affection.

Label: love",92,159,251,1.3720758966883295,0.5645,0.5645,0.3941372477046873
i was feeling as heartbroken as im sure katniss was,sadness,sadness,"Input text:
i was feeling as heartbroken as im sure katniss was

Label:
assistant
<think>

</think>

sadness",94,157,251,1.3720758966883295,0.5645,0.5645,0.3941372477046873
i feel a little mellow today,joy,joy,", surprise
Think step by step internally.
Output only one final label.

Input text:
i feel a little mellow today

Label:
assistant
<think>

</think>

The phrase ""i feel a little mellow today"" suggests a state of calmness, relaxation, and contentment. Among the provided candidate labels (sadness, joy, love, anger, fear, surprise), ""mellow"" aligns most closely with positive, peaceful emotions rather than negative ones or high-arousal states like surprise or anger. While it isn't an intense burst of ""joy,"" it represents a pleasant, happy state of mind.

Label: joy",88,139,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,anger,"my only role now would be to tear your sails with my pessimism and discontent

Label:
assistant
<think>

</think>

anger",100,127,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,"let the world knows about our fight

Label:
assistant
<think>

</think>

anger",109,118,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i feel like reds and purples are just so rich and kind of perfect,joy,joy,"text:
i feel like reds and purples are just so rich and kind of perfect

Label:
assistant
<think>

</think>

joy",97,130,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,sadness,"<think>

</think>

sadness",123,104,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,love,"part of this little space

Label:
assistant
<think>

</think>

The text expresses gratitude (""appreciative"") and happiness (""glad"") about being part of a community. These emotions align most closely with positive feelings of affection and contentment.

Label: love",111,116,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,sadness,sadness,128,99,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,sadness,"the shame

Label:
assistant
<think>

</think>

sadness",114,113,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i don t feel guilty like i m not going to be able to cook for him,sadness,sadness,"i don t feel guilty like i m not going to be able to cook for him

Label:
assistant
<think>

</think>

The text expresses a sense of inadequacy and worry about not being able to fulfill a responsibility (cooking for someone). This feeling of being unable to meet expectations or the potential for letting someone down is a strong indicator of negative emotion, specifically sadness or anxiety. Among the provided candidate labels, ""sadness"" best fits the tone of feeling guilty and helpless.

Label: sadness",98,129,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i hate it when i feel fearful for absolutely no reason,fear,fear,".
Output only one final label.

Input text:
i hate it when i feel fearful for absolutely no reason

Label:
assistant
<think>

</think>

fear",92,135,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i am feeling outraged it shows everywhere,anger,anger,", surprise
Think step by step internally.
Output only one final label.

Input text:
i am feeling outraged it shows everywhere

Label:
assistant
<think>

</think>

anger",88,139,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,sadness,"one of my all time favorite authors and now i feel like a rotten person

Label:
assistant
<think>

</think>

sadness",101,126,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i do feel insecure sometimes but who doesnt,fear,sadness,"Think step by step internally.
Output only one final label.

Input text:
i do feel insecure sometimes but who doesnt

Label:
assistant
<think>

</think>

sadness",89,138,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,joy,"up a line

Label:
assistant
<think>

</think>

The text expresses a strong positive recommendation (""highly recommend""), highlights a benefit (""less crowded""), and suggests an opportunity for better interaction (""ask the farmers more questions""). The tone is enthusiastic and appreciative of the experience. Among the candidate labels, this aligns best with **joy**.

Label: joy",113,114,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
ive been missing him and feeling so restless at home thinking of him,fear,sadness,"one final label.

Input text:
ive been missing him and feeling so restless at home thinking of him

Label:
assistant
<think>

</think>

sadness",94,133,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,anger,"little grumpy and out of sorts the past few days

Label:
assistant
<think>

</think>

anger",105,122,227,1.0180659008146904,0.5645,0.5645,0.3941372477046873
i start to feel emotional,sadness,sadness,"Think step by step internally.
Output only one final label.

Input text:
i start to feel emotional

Label:
assistant
<think>

</think>

sadness",86,158,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel so cold a href http irish,anger,sadness,"only one final label.

Input text:
i feel so cold a href http irish

Label:
assistant
<think>

</think>

The input text ""i feel so cold"" expresses a physical sensation of coldness. In the context of the provided candidate labels (sadness, joy, love, anger, fear, surprise), physical discomfort or a lack of warmth is most commonly associated with the emotion of **sadness** or a negative mood, as opposed to the positive emotions (joy, love) or the specific reactions to threats (fear, surprise) or conflict (anger). While ""cold"" can sometimes be a metaphor for loneliness (sadness), it doesn't fit the other categories as well.

Label: sadness",90,154,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel like i m defective or something for not having baby fever,sadness,sadness,":
i feel like i m defective or something for not having baby fever

Label:
assistant
<think>

</think>

sadness",94,150,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel more virtuous than when i eat veggies dipped in hummus,joy,joy,"i feel more virtuous than when i eat veggies dipped in hummus

Label:
assistant
<think>

</think>

The text expresses a positive emotional state where the speaker feels ""more virtuous"" and implies satisfaction or pleasure from eating a specific food (veggies with hummus). This sentiment aligns with feelings of happiness and delight.

Label: joy",95,149,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,joy,"The text expresses feelings of honor and curiosity regarding a magazine focused on health and clean living. The speaker feels positive about being included and is inquisitive about others' opinions. There are no indicators of negative emotions like sadness, anger, or fear. While ""love"" is a positive emotion, the specific tone here is more about appreciation and interest, which aligns best with ""joy"" in the context of the provided candidate labels (as opposed to the deep affection implied by ""love"").

Label: joy",121,123,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i spent the last two weeks of school feeling miserable,sadness,sadness,"final label.

Input text:
i spent the last two weeks of school feeling miserable

Label:
assistant
<think>

</think>

sadness",91,153,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
im feeling very peaceful about our wedding again now after having,joy,joy,".

Input text:
im feeling very peaceful about our wedding again now after having

Label:
assistant
<think>

</think>

The text expresses a state of being ""peaceful"" and indicates a positive resolution (""again now"") regarding a significant life event (a wedding). While ""peaceful"" isn't explicitly in the candidate list, it aligns most closely with positive emotions rather than negative ones like sadness, anger, or fear. Among the options provided, ""joy"" is the best fit for the happiness and contentment associated with wedding preparations and a resolved mindset.

Label: joy",92,152,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,love,":
assistant
<think>

</think>

The text describes a positive experience where the speaker felt ""very welcomed"" by coaches. This indicates a strong sense of affection, care, and positive emotion towards the people mentioned. Among the candidate labels, ""love"" best captures this feeling of warmth, acceptance, and positive regard, whereas the other labels (sadness, joy, anger, fear, surprise) do not fit the context of being welcomed and feeling valued.

Label: love",111,133,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,anger,"change

Label:
assistant
<think>

</think>

anger",108,136,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,sadness,"assistant
<think>

</think>

sadness",114,130,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,joy,"the right way and that all is good

Label:
assistant
<think>

</think>

joy",101,143,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,fear,"even though i can imagine some rather unpleasant possible cases

Label:
assistant
<think>

</think>

The text expresses a sense of obligation (""have to agree"") despite anticipating negative or difficult outcomes (""unpleasant possible cases""). This anticipation of negative events and the associated mental burden aligns most closely with the emotion of fear.

Label: fear",99,145,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,joy,"is wonderful

Label:
assistant
<think>

</think>

joy",107,137,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
im feeling really out of place and irritated,anger,anger,"Output only one final label.

Input text:
im feeling really out of place and irritated

Label:
assistant
<think>

</think>

anger",89,155,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i also know that i feel nothing than a friendly affection to them too,joy,love,"i also know that i feel nothing than a friendly affection to them too

Label:
assistant
<think>

</think>

love",95,149,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,sadness,"matter how much i get done

Label:
assistant
<think>

</think>

The text expresses a sense of accomplishment (""productive weekend"") but is immediately followed by a self-deprecating remark (""i cant always say that"") and a feeling of inadequacy despite the effort. This internal conflict, where the speaker feels they are not living up to expectations or are generally unsuccessful despite doing tasks, leans towards a negative emotional state rather than pure joy or love. Among the candidate labels, ""sadness"" best captures the underlying feeling of disappointment and self-doubt expressed in the text.

Label: sadness",103,141,244,1.162737960814411,0.5645,0.5645,0.3941372477046873
im feeling insecure at the moment,fear,sadness,", fear, surprise
Think step by step internally.
Output only one final label.

Input text:
im feeling insecure at the moment

Label:
assistant
<think>

</think>

sadness",87,161,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,joy,"at work was a very good day and that helped a lot

Label:
assistant
<think>

</think>

The text describes a transition from anxiety to a positive outcome (""very good day"") that provided relief (""helped a lot""). The overall sentiment is positive and relieved, which aligns best with the label **joy**.

Label: joy",104,144,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,anger,"could go back and do it again

Label:
assistant
<think>

</think>

anger",109,139,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i feel a little nervous i go to the gym,fear,fear,"step internally.
Output only one final label.

Input text:
i feel a little nervous i go to the gym

Label:
assistant
<think>

</think>

fear",91,157,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,joy,"report

Label:
assistant
<think>

</think>

joy",115,133,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,fear,"can t stop the anxiety i feel when i m alone when i ve got no distractions

Label:
assistant
<think>

</think>

The text expresses a strong feeling of ""anxiety"" and being unable to stop it, which indicates a state of distress, worry, or unease. Among the candidate labels provided (sadness, joy, love, anger, fear, surprise), ""fear"" is the closest match because anxiety is a form of apprehension or dread about future events or a situation, aligning with the definition of fear. While sadness is related to negative emotions, the specific mention of ""anxiety"" points more directly to fear.

Label: fear",99,149,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,joy,"my house style now that im living on my own and have creative carte blanche

Label:
assistant
<think>

</think>

The text expresses a sense of freedom, creativity, and positive anticipation about living independently (""creative carte blanche,"" ""trying to feel out""). These emotions align most closely with happiness and excitement.

Label: joy",101,147,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,sadness,"assistant
<think>

</think>

sadness",121,127,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,sadness,"morning while it was still cool but i was just feeling so rotten

Label:
assistant
<think>

</think>

sadness",103,145,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i have a good feeling about this so i am excited,joy,joy,".
Output only one final label.

Input text:
i have a good feeling about this so i am excited

Label:
assistant
<think>

</think>

joy",92,156,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,joy,"the blessings that come from being submissive to the will of the father

Label:
assistant
<think>

</think>

The text expresses a deep sense of gratitude and appreciation for ""blessings"" received through submission to a higher power (""the father""). The speaker feels a positive emotional connection and relief associated with understanding these blessings. Among the candidate labels, ""joy"" best captures the feeling of happiness and contentment derived from this realization, whereas the other labels (sadness, anger, fear, surprise) do not fit the positive and grateful tone of the statement. ""Love"" is a possibility, but ""joy"" more directly reflects the emotional response to receiving and understanding blessings.

Label: joy",103,145,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,sadness,"Label:
assistant
<think>

</think>

sadness",116,132,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i woke up yesterday monday morning feeling a little depressed,sadness,sadness,"step internally.
Output only one final label.

Input text:
i woke up yesterday monday morning feeling a little depressed

Label:
assistant
<think>

</think>

sadness",91,157,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i feel so embarrassed,sadness,sadness,", love, anger, fear, surprise
Think step by step internally.
Output only one final label.

Input text:
i feel so embarrassed

Label:
assistant
<think>

</think>

sadness",85,163,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,sadness,sadness,128,120,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,joy,"can honestly say that after each sistahs chat i feel invigorated and blessed

Label:
assistant
<think>

</think>

The text expresses feelings of being ""invigorated"" and ""blessed"" after a chat, which indicates a strong sense of happiness, gratitude, and positive emotion. Among the candidate labels, ""joy"" best fits these sentiments.

Label: joy",99,149,248,1.2607444144996407,0.5645,0.5645,0.3941372477046873
i still feel stupid to be in that class this is all cause off pbss fault,sadness,anger,"is all cause off pbss fault

Label:
assistant
<think>

</think>

anger",98,147,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,surprise,surprise,"Label:
assistant
<think>

</think>

The text expresses a state of being ""stunned"" and an inability to comprehend the feelings of others in a difficult situation. This reaction indicates shock and a sudden, unexpected realization or event, which aligns with the emotion of surprise. While there is a hint of concern or empathy (""can't imagine what... are feeling""), the primary descriptor of the speaker's own state (""stunned"") points most strongly to surprise among the given options.

Label: surprise",105,140,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i admit im feeling a little bit unloved at this point,sadness,sadness,"im feeling a little bit unloved at this point

Label:
assistant
<think>

</think>

sadness",94,151,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel a bit stressed even though all the things i have going on are fun,anger,fear,"the things i have going on are fun

Label:
assistant
<think>

</think>

The input text expresses a feeling of being ""stressed,"" which is a negative emotion often associated with anxiety or worry. Among the provided candidate labels (sadness, joy, love, anger, fear, surprise), ""fear"" is the closest match because stress involves a sense of threat or unease, whereas the other labels do not fit as well (it is not joy, love, anger, surprise, or sadness in the traditional sense of grief).

Label: fear",97,148,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
im feeling pretty anxious,fear,fear,"by step internally.
Output only one final label.

Input text:
im feeling pretty anxious

Label:
assistant
<think>

</think>

fear",85,160,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel shocked and sad at the fact that there are so many sick people,surprise,sadness,"the fact that there are so many sick people

Label:
assistant
<think>

</think>

sadness",96,149,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,joy,love,"The text describes a character's feelings for a ""particularly charming new england girl"" and suggests these feelings have influenced his perspective positively (""brought him around""). The focus is on romantic attraction and affection, which aligns with the label ""love"".

Label: love",117,128,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel like a naughty school girl because i am falling behind,love,sadness,"i feel like a naughty school girl because i am falling behind

Label:
assistant
<think>

</think>

sadness",93,152,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise,sadness,"handed feels weird

Label:
assistant
<think>

</think>

Label: sadness",102,143,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i can feel that they are kind friendly and can understand my feelings,joy,joy,"feel that they are kind friendly and can understand my feelings

Label:
assistant
<think>

</think>

The text expresses positive emotions regarding others (""kind friendly"", ""understand my feelings""). While ""love"" is a strong positive emotion, the specific descriptors of kindness, friendliness, and empathy in this context most directly align with the feeling of **joy** or happiness derived from positive social interactions. Among the given candidates, ""joy"" best captures the overall positive and uplifting sentiment described.

Label: joy",94,151,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,love,":
assistant
<think>

</think>

love",107,138,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger,anger,"assistant
<think>

</think>

anger",108,137,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel transcendant and splendid,joy,joy,"Output only one final label.

Input text:
i feel transcendant and splendid

Label:
assistant
<think>

</think>

The phrase ""transcendant and splendid"" describes a state of being elevated, magnificent, and filled with great joy or awe. These are positive emotions associated with happiness and delight.

Therefore, the correct label is:
joy",87,158,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness,surprise,"ated and even sun burnt

Label:
assistant
<think>

</think>

The text describes a state of being ""exhausted,"" ""dehydrated,"" and ""sun burnt"" after a long journey. While these are physical conditions, the overall tone reflects a lack of energy, weariness, and a negative physical state. Among the provided candidate labels (sadness, joy, love, anger, fear, surprise), ""sadness"" is the closest fit because it encompasses feelings of dejection, weariness, and a negative emotional state associated with fatigue and distress, whereas the other labels (joy, love, surprise) are clearly positive or neutral, and anger/fear do not match the context of physical",100,145,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i am feeling totally relaxed and comfy,joy,joy,"only one final label.

Input text:
i am feeling totally relaxed and comfy

Label:
assistant
<think>

</think>

The text ""i am feeling totally relaxed and comfy"" describes a state of ease and comfort. Among the candidate labels (sadness, joy, love, anger, fear, surprise), this positive emotional state aligns best with **joy**, as it reflects a pleasant and contented feeling.

Label: joy",88,157,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i want each of you to feel my gentle embrace,love,love,"Input text:
i want each of you to feel my gentle embrace

Label:
assistant
<think>

</think>

love",91,154,245,1.0125803440605523,0.5645,0.5645,0.3941372477046873
i feel privileged in my world,joy,joy,"final label.

Input text:
i feel privileged in my world

Label:
assistant
<think>

</think>

joy",87,154,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger,anger,"assistant
<think>

</think>

anger",107,134,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness,sadness,"do that

Label:
assistant
<think>

</think>

sadness",99,142,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i suppose i feel too trusting sometimes,joy,sadness,".

Input text:
i suppose i feel too trusting sometimes

Label:
assistant
<think>

</think>

sadness",88,153,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,sadness,"haha

Label:
assistant
<think>

</think>

sadness",100,141,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness,sadness,sadness,113,128,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,love,"assistant
<think>

</think>

love",104,137,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i am feeling so happy,joy,joy,"only one final label.

Input text:
i am feeling so happy

Label:
assistant
<think>

</think>

joy",86,155,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i am running at an approximate minute pace which i feel is quite acceptable,joy,joy,"which i feel is quite acceptable

Label:
assistant
<think>

</think>

The text expresses a positive sentiment about the user's current performance (""quite acceptable""), indicating satisfaction and happiness with the result. This aligns best with the label **joy**.

Label: joy",95,146,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i feel so disappointed when my ex girlfriend doesn t call me back,sadness,sadness,"ex girlfriend doesn t call me back

Label:
assistant
<think>

</think>

sadness",94,147,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy,joy,joy,113,128,241,1.0052048608777113,0.5645,0.5645,0.3941372477046873
