Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"two top us movie groups picked their #### awards nominees wednesday , with gay drama `` brokeback mountain , '' george clooney 's `` good night and good '' luck and `` crash '' taking early leads in the oscars race .",top us movie groups pick awards nominees as oscars loom,"</think>

Two major US film groups announced their award nominees on Wednesday, with ""Brokeback Mountain,"" George Clooney's ""Good Night, and Good Luck,"" and ""Crash"" leading the early Oscar race.","</think>

Two major US film groups announced their award nominees on Wednesday, with ""Brokeback Mountain,"" George Clooney's ""Good Night, and Good Luck,"" and ""Crash"" leading the early Oscar race.",111,48,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"right fielder jeromy burnitz inked a one-year , #.# million-dollar contract with the pittsburgh pirates on wednesday , a week after he was reported as close to a deal with baltimore .",pirates ink outfielder burnitz to one-year deal,"assistant
<think>

</think>

Jeromy Burnitz signed a one-year, $1.5 million contract with the Pittsburgh Pirates on Wednesday, following reports of a potential deal with Baltimore.","assistant
<think>

</think>

Jeromy Burnitz signed a one-year, $1.5 million contract with the Pittsburgh Pirates on Wednesday, following reports of a potential deal with Baltimore.",105,54,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
us president george w. bush said late wednesday that he and the first lady shared `` the concerns of the israeli people about prime minister ariel sharon 's health '' and were praying for his recovery .,bush says he shares israelis concern over sharon,"assistant
<think>

</think>

President George W. Bush and the First Lady expressed concern for Israeli Prime Minister Ariel Sharon's health and prayed for his recovery.","assistant
<think>

</think>

President George W. Bush and the First Lady expressed concern for Israeli Prime Minister Ariel Sharon's health and prayed for his recovery.",107,52,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the prime minister of burkina faso , UNK ernest yonli , has handed in his resignation to president blaise compaore , the president 's office announced wednesday .",burkina faso 's prime minister resigns,Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore.,Burkina Faso Prime Minister Ernest Yonli has resigned to President Blaise Compaore.,102,32,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"a top hollywood event promoter is seeking a court order to stop socialite and hotel heiress paris hilton from allegedly harassing him and threatening his life , court documents showed wednesday .",man seeks stay-away order against paris hilton,"</think>

A top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.","</think>

A top Hollywood event promoter is seeking a court order to stop Paris Hilton from allegedly harassing him and threatening his life.",100,34,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the un security council will hold a ministerial session on the situation in africa 's great lakes region late this month , UNK 's un envoy augustine UNK said wednesday .",security council to hold ministerial session on africa 's great lakes,"</think>

The UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region later this month.","</think>

The UN Security Council will hold a ministerial session on the situation in Africa's Great Lakes region later this month.",101,33,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
political leaders in israel united in prayers for ariel sharon on thursday as the prime minister underwent emergency surgery after suffering a massive stroke .,israeli leaders unite in prayer for ailing sharon,"Summary:
assistant
<think>

</think>

Israeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following emergency surgery after he suffered a massive stroke.","Summary:
assistant
<think>

</think>

Israeli political leaders united in prayers for Prime Minister Ariel Sharon on Thursday following emergency surgery after he suffered a massive stroke.",91,43,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
israeli prime minister ariel sharon was undergoing an emergency operation thursday after suffering a massive stroke .,timeline of sharon era,"after suffering a massive stroke .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon underwent emergency surgery after suffering a massive stroke.","after suffering a massive stroke .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon underwent emergency surgery after suffering a massive stroke.",85,49,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
human trafficking victims could be spared deportation from britain and get automatic permission to stay under government proposals revealed thursday .,human trafficking victims could get right to remain in britain,"proposals revealed thursday .

Summary:
assistant
<think>

</think>

New government proposals would allow human trafficking victims in Britain to avoid deportation and receive automatic permission to stay.","proposals revealed thursday .

Summary:
assistant
<think>

</think>

New government proposals would allow human trafficking victims in Britain to avoid deportation and receive automatic permission to stay.",86,48,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
world number two rafael nadal is in doubt for this month 's australian open after withdrawing on thursday from next week 's lead-up sydney international tournament .,nadal pulls out of sydney international,"assistant
<think>

</think>

Rafael Nadal is in doubt for the Australian Open after withdrawing from the Sydney International tournament.","assistant
<think>

</think>

Rafael Nadal is in doubt for the Australian Open after withdrawing from the Sydney International tournament.",97,37,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"four-time all-star alexander mogilny was waived by new jersey on wednesday , one day after the devils welcomed back czech forward patrik elias .",mogilny odd man out as devils welcome back elias,"assistant
<think>

</think>

The New Jersey Devils waived four-time All-Star Alexander Mogilny on Wednesday, the day after re-signing Czech forward Patrik Elias.","assistant
<think>

</think>

The New Jersey Devils waived four-time All-Star Alexander Mogilny on Wednesday, the day after re-signing Czech forward Patrik Elias.",97,37,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"finance minister ehud olmert will chair an emergency meeting of the israeli cabinet on thursday after prime minister ariel sharon suffered a massive stroke , public television reported .",olmert to chair emergency israel cabinet meet,"<think>

</think>

Finance Minister Ehud Olmert will chair an emergency Israeli cabinet meeting on Thursday following Prime Minister Ariel Sharon's massive stroke.","<think>

</think>

Finance Minister Ehud Olmert will chair an emergency Israeli cabinet meeting on Thursday following Prime Minister Ariel Sharon's massive stroke.",98,36,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"hollywood actor nick nolte has successfully completed three years of probation imposed for driving under the influence of drugs , a judge ruled on wednesday .",us actor nick nolte ends UNK,":
assistant
<think>

</think>

A judge ruled that actor Nick Nolte has successfully completed his three-year probation for driving under the influence of drugs.",":
assistant
<think>

</think>

A judge ruled that actor Nick Nolte has successfully completed his three-year probation for driving under the influence of drugs.",93,41,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"south korea 's consumer confidence topped the benchmark ###-point level for the first time in eight months in december , reflecting the country 's solid economic recovery , official data showed thursday .",skorea 's consumer confidence tops benchmark ###,"South Korea's consumer confidence reached a benchmark high in December for the first time in eight months, signaling a solid economic recovery.","South Korea's consumer confidence reached a benchmark high in December for the first time in eight months, signaling a solid economic recovery.",102,32,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"hollywood star charlie sheen and actress denise richards have scrapped efforts to reconcile their differences and have decided to push ahead with a divorce , court documents showed wednesday .",denise richards charlie sheen push ahead with divorce,"</think>

Charlie Sheen and Denise Richards have decided to proceed with their divorce after abandoning reconciliation efforts, according to court documents.","</think>

Charlie Sheen and Denise Richards have decided to proceed with their divorce after abandoning reconciliation efforts, according to court documents.",100,34,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"hong kong gold prices opened higher thursday at ###.##-### .## us dollars an ounce , compared to wednesday 's close of ###.##-### .## dollars an ounce .",hong kong gold opens higher,Hong Kong gold prices opened higher on Thursday compared to Wednesday's close.,Hong Kong gold prices opened higher on Thursday compared to Wednesday's close.,103,31,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"japanese share prices rose #.## percent in morning trade thursday to hit the highest level in more than five years as fresh gains on wall street fanned upbeat investor sentiment here , dealers said .",tokyo shares rise #.## percent in morning trade,Japanese share prices rose to a five-year high on Thursday amid positive investor sentiment fueled by Wall Street gains.,Japanese share prices rose to a five-year high on Thursday amid positive investor sentiment fueled by Wall Street gains.,103,31,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
a top police officer appealed thursday to supermodel kate moss to return to britain and face arrest amid allegations of UNK .,british police seek to arrest moss amid cocaine inquiry,".

Summary:
assistant
<think>

</think>

A top police officer urged supermodel Kate Moss to return to Britain to face arrest on Thursday amid unspecified allegations.",".

Summary:
assistant
<think>

</think>

A top police officer urged supermodel Kate Moss to return to Britain to face arrest on Thursday amid unspecified allegations.",90,44,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
the cerebral hemorrhage suffered by israeli prime minister ariel sharon occurs when a defective artery in the brain bursts : it is among the deadliest of the major types of stroke .,key facts about hemorrhagic stroke,"<think>

</think>

Israeli Prime Minister Ariel Sharon suffered a cerebral hemorrhage, a fatal type of stroke caused by a burst defective artery in the brain.","<think>

</think>

Israeli Prime Minister Ariel Sharon suffered a cerebral hemorrhage, a fatal type of stroke caused by a burst defective artery in the brain.",99,35,134,0.37824323724998976,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"hong kong share prices opened #.## percent higher thursday on follow-through interest in properties after wednesday 's sharp gains on abating interest rate worries , dealers said .",hong kong shares open higher as rate worries ease,"Summary:
assistant
<think>

</think>

Hong Kong share prices rose on Thursday as follow-through buying in the property sector continued Wednesday's gains driven by easing interest rate concerns.","Summary:
assistant
<think>

</think>

Hong Kong share prices rose on Thursday as follow-through buying in the property sector continued Wednesday's gains driven by easing interest rate concerns.",98,48,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"trade between south korea and its communist neighbor north korea doubled last year , totalling more than one billion dollars for the first time , official data showed .",inter-korean trade doubles to one billion dollars in ####,"data showed .

Summary:
assistant
<think>

</think>

Trade between South Korea and North Korea doubled last year, exceeding $1 billion for the first time.","data showed .

Summary:
assistant
<think>

</think>

Trade between South Korea and North Korea doubled last year, exceeding $1 billion for the first time.",95,51,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"two new vaccines have been shown effective against rotavirus , which is responsible for a half-million infant deaths in poor countries each year , research studies published wednesday said .",new vaccines for key UNK virus shown effective,"said .

Summary:
assistant
<think>

</think>

Research published Wednesday indicates that two new vaccines are effective against rotavirus, a disease causing approximately 500,000 infant deaths annually in developing countries.","said .

Summary:
assistant
<think>

</think>

Research published Wednesday indicates that two new vaccines are effective against rotavirus, a disease causing approximately 500,000 infant deaths annually in developing countries.",96,50,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"china has begun a push to promote small , low-emission cars as oil prices remain high and environmental concerns grow over the nation 's fast-rising auto culture , state press reported thursday .",china pushes smaller cars as environmental concerns grow,"assistant
<think>

</think>

China is promoting small, low-emission vehicles in response to high oil prices and growing environmental concerns related to its rapidly expanding auto industry.","assistant
<think>

</think>

China is promoting small, low-emission vehicles in response to high oil prices and growing environmental concerns related to its rapidly expanding auto industry.",102,44,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
israeli prime minister ariel sharon was fighting for his life thursday after suffering a massive stroke .,major events in sharon 's life,"was fighting for his life thursday after suffering a massive stroke .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon suffered a massive stroke and was fighting for his life on Thursday.","was fighting for his life thursday after suffering a massive stroke .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon suffered a massive stroke and was fighting for his life on Thursday.",85,61,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the dollar regained some lost ground in asian trade thursday in what was seen as a largely technical rebound after weakness prompted by expectations of a shift in us interest rate policy , dealers said .",dollar regains ground in asian trade,":
assistant
<think>

</think>

The dollar recovered some losses in Asian trade on Thursday, marking a technical rebound following earlier weakness driven by expectations of a shift in U.S. interest rate policy.",":
assistant
<think>

</think>

The dollar recovered some losses in Asian trade on Thursday, marking a technical rebound following earlier weakness driven by expectations of a shift in U.S. interest rate policy.",100,46,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
